"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.006763";"0.003696";"0.004221";"0.004388";"0.012260";"0.021748";"0.008535";"0.001626";"0.001611";"0.006092";"0.005010";"0.001330";"0.004398";"0.005741";"0.001530";"0.003794";"0.003461";"0.005680";"0.001531"
5;"0.007092";"0.001783";"0.004289";"0.006999";"0.007517";"0.012849";"0.009927";"0.001715";"0.001758";"0.005183";"0.005119";"0.002550";"0.003476";"0.004382";"0.004965";"0.003936";"0.004041";"0.003600";"0.001929"
10;"0.009968";"0.003046";"0.004678";"0.005882";"0.007978";"0.021187";"0.007861";"0.002041";"0.002224";"0.006676";"0.005899";"0.001824";"0.005033";"0.006209";"0.004777";"0.005243";"0.009055";"0.004555";"0.003110"
15;"0.007262";"0.001714";"0.004545";"0.005801";"0.013912";"0.027927";"0.008833";"0.001698";"0.001752";"0.004805";"0.005286";"0.001665";"0.004677";"0.006602";"0.004476";"0.004837";"0.007123";"0.003974";"0.001843"
20;"0.012163";"0.003438";"0.004637";"0.005104";"0.016207";"0.021327";"0.009702";"0.002558";"0.001861";"0.007444";"0.005679";"0.001126";"0.004275";"0.005432";"0.001628";"0.004357";"0.005838";"0.005023";"0.001999"
25;"0.011473";"0.001402";"0.004551";"0.006216";"0.007948";"0.013535";"0.007180";"0.001611";"0.001732";"0.009160";"0.005359";"0.002016";"0.004157";"0.005025";"0.001329";"0.005396";"0.006855";"0.008289";"0.001808"
30;"0.006576";"0.001871";"0.344449";"0.373962";"0.447348";"0.613561";"0.007754";"0.001465";"0.001605";"0.523635";"0.216505";"0.001695";"0.196967";"0.291099";"0.001644";"0.421500";"0.005235";"0.253608";"0.002394"
35;"0.007852";"0.001764";"0.521127";"0.517226";"0.414466";"0.641735";"0.142299";"0.001517";"0.001649";"0.603896";"0.107234";"0.001533";"0.477514";"0.460111";"0.004918";"0.285027";"0.185564";"0.004130";"0.001281"
40;"0.098604";"0.002200";"0.411951";"0.448885";"0.349066";"0.684033";"0.084025";"0.001602";"0.001501";"0.553007";"0.141239";"0.001419";"0.521366";"0.440390";"0.001271";"0.381113";"0.118571";"0.190426";"0.001321"
45;"0.006164";"0.001302";"0.503345";"0.524652";"0.349909";"0.654259";"0.006981";"0.001310";"0.001734";"0.687427";"0.169776";"0.001281";"0.503617";"0.466579";"0.001409";"0.457146";"0.304272";"0.103041";"0.001649"
50;"0.006854";"0.001747";"0.417031";"0.423824";"0.341508";"0.385259";"0.010308";"0.002388";"0.001504";"0.432919";"0.214223";"0.001493";"0.299901";"0.522377";"0.001283";"0.383004";"0.095317";"0.203960";"0.001336"
55;"0.006520";"0.002093";"0.479148";"0.384707";"0.353309";"0.512884";"0.054138";"0.001683";"0.001885";"0.459937";"0.122364";"0.002927";"0.575357";"0.517340";"0.002882";"0.531355";"0.171944";"0.279839";"0.001771"
60;"0.006578";"0.002248";"0.415770";"0.440940";"0.296115";"0.286745";"0.007292";"0.002204";"0.001589";"0.392417";"0.258335";"0.002127";"0.536173";"0.518660";"0.001593";"0.479130";"0.256097";"0.222818";"0.001378"
65;"0.077980";"0.001270";"0.284571";"0.497730";"0.356242";"0.335627";"0.008190";"0.001764";"0.001530";"0.369100";"0.286128";"0.001286";"0.582476";"0.369828";"0.002514";"0.582231";"0.253117";"0.203141";"0.001380"
70;"0.069038";"0.001944";"0.337414";"0.367816";"0.306588";"0.263526";"0.046376";"0.001494";"0.001997";"0.638916";"0.252802";"0.001384";"0.628582";"0.429612";"0.007600";"0.570037";"0.276752";"0.094665";"0.001747"
75;"0.013844";"0.001637";"0.475298";"0.439082";"0.244654";"0.408394";"0.113616";"0.001422";"0.001596";"0.403596";"0.207544";"0.001411";"0.432065";"0.273623";"0.001769";"0.279748";"0.253432";"0.177204";"0.001482"
80;"0.293201";"0.001261";"0.385684";"0.447115";"0.264762";"0.394412";"0.112046";"0.001447";"0.001470";"0.439322";"0.221387";"0.002107";"0.443819";"0.438561";"0.001245";"0.254184";"0.252893";"0.432267";"0.001964"
85;"0.007796";"0.001790";"0.374386";"0.416711";"0.297187";"0.831590";"0.138658";"0.002485";"0.001516";"0.428532";"0.276635";"0.001874";"0.544951";"0.395755";"0.006933";"0.406754";"0.432399";"0.258670";"0.001635"
90;"0.006320";"0.001804";"0.393920";"0.437662";"0.325816";"0.753830";"0.140352";"0.002068";"0.001578";"0.524916";"0.185747";"0.001593";"0.218687";"0.337921";"0.001430";"0.528830";"0.172742";"0.087331";"0.001704"
95;"0.089414";"0.001403";"0.400660";"0.591449";"0.387021";"0.395468";"0.009175";"0.002589";"0.001499";"0.484708";"0.114629";"0.001915";"0.480842";"0.425928";"0.001220";"0.570347";"0.093641";"0.313061";"0.001833"
100;"0.008038";"0.001400";"0.462053";"0.402382";"0.304478";"0.538553";"0.007478";"0.002173";"0.001555";"0.578692";"0.191371";"0.001542";"0.299778";"0.392873";"0.001778";"0.403076";"0.083758";"0.169776";"0.001532"
