"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.012496";"0.001424";"0.003718";"0.005019";"0.007741";"0.019666";"0.007686";"0.001267";"0.001447";"0.005847";"0.005649";"0.001229";"0.004001";"0.005085";"0.001316";"0.003365";"0.004080";"0.003077";"0.001630"
5;"0.014741";"0.001577";"0.003639";"0.005410";"0.010297";"0.013894";"0.009001";"0.001340";"0.001503";"0.006599";"0.004477";"0.001497";"0.003604";"0.005913";"0.001431";"0.003964";"0.003172";"0.003252";"0.001135"
10;"0.006833";"0.001374";"0.003897";"0.004919";"0.009111";"0.023763";"0.013613";"0.001705";"0.001235";"0.007291";"0.005080";"0.001264";"0.003715";"0.011550";"0.001752";"0.003274";"0.005351";"0.012988";"0.001394"
15;"0.009177";"0.001304";"0.003848";"0.006481";"0.007096";"0.021649";"0.008291";"0.001448";"0.001374";"0.003783";"0.006494";"0.001476";"0.003388";"0.005690";"0.001456";"0.004017";"0.003657";"0.006382";"0.001612"
20;"0.007319";"0.001533";"0.003975";"0.005176";"0.009486";"0.015933";"0.007140";"0.001257";"0.001403";"0.003333";"0.003424";"0.001683";"0.003555";"0.005913";"0.001282";"0.005996";"0.015554";"0.003984";"0.001289"
25;"0.006683";"0.001622";"0.003539";"0.006038";"0.007293";"0.011726";"0.009221";"0.001344";"0.001569";"0.005891";"0.003840";"0.001121";"0.003444";"0.003061";"0.004537";"0.003419";"0.003074";"0.004946";"0.001926"
30;"0.006990";"0.001198";"0.003655";"0.005349";"0.006829";"0.013210";"0.007148";"0.001864";"0.001340";"0.003705";"0.004799";"0.002383";"0.003574";"0.006192";"0.006632";"0.005471";"0.007625";"0.003841";"0.001649"
35;"0.007659";"0.001649";"0.003840";"0.006556";"0.007885";"0.011105";"0.012526";"0.001369";"0.001638";"0.006623";"0.005303";"0.001432";"0.004332";"0.004060";"0.008002";"0.007249";"0.009860";"0.003476";"0.001514"
40;"0.008288";"0.001312";"0.003354";"0.006165";"0.007600";"0.012669";"0.007118";"0.001208";"0.001760";"0.006843";"0.006137";"0.001980";"0.003670";"0.005036";"0.002139";"0.004700";"0.003396";"0.003071";"0.001601"
45;"0.008106";"0.001875";"0.004052";"0.005359";"0.006127";"0.017583";"0.011103";"0.002269";"0.001423";"0.008926";"0.005325";"0.001566";"0.003611";"0.003852";"0.001426";"0.004195";"0.011139";"0.003631";"0.001917"
50;"0.009877";"0.001671";"0.004169";"0.005913";"0.007919";"0.019643";"0.006858";"0.001525";"0.001523";"0.007444";"0.005478";"0.001732";"0.003890";"0.003906";"0.001216";"0.003474";"0.003493";"0.003749";"0.001305"
55;"0.007123";"0.001422";"0.003574";"0.003663";"0.007303";"0.015736";"0.009963";"0.001224";"0.001311";"0.002970";"0.004389";"0.001303";"0.004338";"0.003850";"0.001192";"0.004096";"0.003898";"0.004928";"0.001584"
